State,District,City,State_Encoded
Gujarat,Junagadh,Bantwa,11
Karnataka,Dakshina Kannada,Bantwal,16
West Bengal,Haora,Banupur,34
Andhra Pradesh,Guntur,Bapatla,1
West Bengal,North Twentyfour Parganas,Bara Bamonia,34
West Bengal,Puruliya,Barabazar,34
Uttar Pradesh,Jhansi,Baragaon,32
Uttar Pradesh,Varanasi,Baragaon,32
Bihar,Lakhisarai,Barahiya,4
Madhya Pradesh,Raisen,Baraily,19
Jharkhand,Pashchimi Singhbhum,Barajamda,15
Maharashtra,Pune,Baramati,20
Jammu & Kashmir,Baramula,Baramula,14
Rajasthan,Baran,Baran,28
West Bengal,North Twentyfour Parganas,Baranagar,34
Orissa,Bargarh,Barapali,25
West Bengal,North Twentyfour Parganas,Barasat,34
Bihar,Gopalganj,Barauli,4
Bihar,Begusarai,Barauni Ioc Township,4
Uttar Pradesh,Baghpat,Baraut,32
Assam,Dibrugarh,Barbari (Amc Area),3
Bihar,Sheikhpura,Barbigha,4
Orissa,Kendujhar,Barbil,25
West Bengal,Barddhaman,Barddhaman,34
Gujarat,Surat,Bardoli,11
Uttar Pradesh,Bareilly,Bareilly,32
Madhya Pradesh,Jabalpur,Barela,19
Punjab,Mansa,Baretta,27
Orissa,Bargarh,Bargarh,25
Madhya Pradesh,Seoni,Barghat,19
Tamil Nadu,Dharmapuri,Bargur,30
Bihar,Patna,Barh,4
Uttar Pradesh,Gorakhpur,Barhalganj,32
Uttar Pradesh,Siddharthnagar,Barhani Bazar,32
Jharkhand,Hazaribag,Barhi,15
Madhya Pradesh,Katni,Barhi,19
Rajasthan,Dhaulpur,Bari,28
Jammu & Kashmir,Jammu,Bari Brahmana,14
Rajasthan,Chittaurgarh,Bari Sadri,28
Madhya Pradesh,Chhatarpur,Barigarh,19
West Bengal,Hugli,Barijhati,34
Orissa,Mayurbhanj,Baripada,25
Punjab,Muktsar,Bariwala,27
West Bengal,Bankura,Barjora,34
Jharkhand,Hazaribag,Barkakana,15
Uttar Pradesh,Pilibhit,Barkhera,32
Uttaranchal,Uttarkashi,Barkot,33
Rajasthan,Barmer,Barmer,28
Punjab,Sangrur,Barnala,27
Assam,Golaghat,Barpathar,3
Assam,Barpeta,Barpeta,3
Assam,Barpeta,Barpeta Road,3
West Bengal,North Twentyfour Parganas,Barrackpur,34
West Bengal,North Twentyfour Parganas,Barrackpur Cantonment,34
Uttar Pradesh,Mathura,Barsana,32
Maharashtra,Solapur,Barshi,20
Uttar Pradesh,Jhansi,Barua Sagar,32
Jharkhand,Hazaribag,Barughutu,15
West Bengal,Nadia,Baruihuda,34
West Bengal,South Twentyfour Parganas,Baruipur,34
Jharkhand,Palamu,Barwadih,15
Madhya Pradesh,West Nimar,Barwaha,19
Haryana,Hisar,Barwala,12
Madhya Pradesh,Barwani,Barwani,19
Uttar Pradesh,Kheri,Barwar,32
Arunachal Pradesh,West Siang,Basar,2
Jharkhand,Dhanbad,Basaria,15
Karnataka,Bidar,Basavakalyan,16
Karnataka,Bijapur,Basavana Bagevadi,16
Jammu & Kashmir,Kathua,Bashohli,14
West Bengal,North Twentyfour Parganas,Basirhat,34
West Bengal,Barddhaman,Baska,34
Maharashtra,Hingoli,Basmath,20
Chhattisgarh,Mahasamund,Basna,6
Rajasthan,Nagaur,Basni Belima,28
Madhya Pradesh,Vidisha,Basoda,19
Punjab,Fatehgarh Sahib,Bassi Pathana,27
Uttar Pradesh,Basti,Basti,32
Orissa,Bhadrak,Basudebpur,25
